Company,Date,Open,High,Low,Close,Adj Close,Volume
Walmart,1/2/2015,86.269997,86.720001,85.550003,85.900002,73.388664,4501800
Walmart,1/5/2015,85.720001,86.32,85.510002,85.650002,73.175095,6979000
Walmart,1/6/2015,85.980003,86.75,85.790001,86.309998,73.738953,8205100
Walmart,1/7/2015,86.779999,88.68,86.669998,88.599998,75.695427,8498400
Walmart,1/8/2015,89.209999,90.669998,89.07,90.470001,77.293053,12713600
Walmart,1/9/2015,90.32,90.389999,89.25,89.349998,76.336159,8522500
Walmart,1/12/2015,89.360001,90.309998,89.220001,90.019997,76.908592,7372500
Walmart,1/13/2015,90.800003,90.970001,88.93,89.309998,76.30201,8215400
Walmart,1/14/2015,87.650002,88.519997,86.5,86.610001,73.99527,11954300
Walmart,1/15/2015,87,87.779999,86.699997,87.379997,74.653091,9412700
Walmart,1/16/2015,87.199997,87.459999,86.230003,86.769997,74.131943,8408900
Walmart,1/20/2015,86.82,87.699997,85.550003,86.690002,74.063606,7853100
Walmart,1/21/2015,86.099998,86.910004,85.709999,86.639999,74.020889,8173800
Walmart,1/22/2015,87.230003,88.400002,86.860001,88.300003,75.439102,7123800
Walmart,1/23/2015,88.419998,89.260002,87.889999,88.510002,75.618523,7565800
Walmart,1/26/2015,88.309998,89.160004,88.120003,88.629997,75.721054,4666700
Walmart,1/27/2015,88.279999,88.459999,87.260002,87.529999,74.781258,6020500
Walmart,1/28/2015,88.019997,88.230003,86.769997,86.82,74.174706,5936800
Walmart,1/29/2015,87.07,87.720001,86.269997,87.720001,74.943581,6522800
Walmart,1/30/2015,86.779999,87.360001,84.900002,84.980003,72.602669,10280200
Walmart,2/2/2015,84.790001,85.870003,83.93,85.709999,73.226341,6927200
Walmart,2/3/2015,85.830002,86.529999,85.660004,86.190002,73.636429,8283500
Walmart,2/4/2015,86.110001,87.040001,86,86.650002,74.029411,8932300
Walmart,2/5/2015,87.110001,87.360001,86.559998,87.279999,74.567673,5090800
Walmart,2/6/2015,87.260002,88,86.779999,87.330002,74.610397,5617600
Walmart,2/9/2015,86.970001,87.190002,85.639999,85.910004,73.397217,5456200
Walmart,2/10/2015,86.620003,87.410004,86.419998,87.290001,74.576225,5732100
Walmart,2/11/2015,86.629997,87.120003,85.919998,86.339996,73.76458,5853100
Walmart,2/12/2015,86.559998,86.68,85.230003,85.889999,73.380119,6941600
Walmart,2/13/2015,85.839996,86.160004,85.32,85.809998,73.311798,5597000
Walmart,2/17/2015,85.43,85.970001,84.970001,85.959999,73.439919,5087200
Walmart,2/18/2015,85.959999,86.300003,85.519997,86.290001,73.721863,6032700
Walmart,2/19/2015,84.5,84.800003,83.389999,83.519997,71.355309,18646800
Walmart,2/20/2015,82.730003,84.379997,82.550003,84.300003,72.021713,13840400
Walmart,2/23/2015,84.389999,84.860001,84.230003,84.599998,72.278023,6730400
Walmart,2/24/2015,84.519997,84.82,83.919998,84.57,72.25238,5197700
Walmart,2/25/2015,84.629997,84.720001,83.519997,83.57,71.398026,6808400
Walmart,2/26/2015,83.849998,83.860001,83.269997,83.800003,71.594551,5888100
Walmart,2/27/2015,83.720001,84.160004,83.400002,83.93,71.705597,5877400
Walmart,3/2/2015,83.93,84,83.199997,83.959999,71.731232,6061500
Walmart,3/3/2015,83.660004,83.82,83.169998,83.370003,71.22718,6460800
Walmart,3/4/2015,83.209999,83.209999,82.199997,82.580002,70.552238,6214400
Walmart,3/5/2015,83.150002,83.870003,82.959999,83.57,71.398026,5997500
Walmart,3/6/2015,82.809998,83.099998,82.379997,82.589996,70.560776,5731000
Walmart,3/9/2015,82.589996,83.339996,82.540001,82.879997,70.808533,4671500
Walmart,3/10/2015,82.269997,82.5,82.07,82.07,70.116501,6311100
Walmart,3/11/2015,81.82,81.970001,80.540001,80.690002,69.35157,6160900
Walmart,3/12/2015,80.809998,82.120003,80.779999,81.900002,70.391556,5225800
Walmart,3/13/2015,81.949997,82.25,81.290001,81.900002,70.391556,4762200
Walmart,3/16/2015,82.449997,83.370003,82.440002,83.290001,71.586235,6519100
Walmart,3/17/2015,82.980003,83.010002,82.239998,82.620003,71.010376,4802000
Walmart,3/18/2015,81.980003,82.959999,81.160004,82.529999,70.933029,10252300
Walmart,3/19/2015,82.330002,82.440002,81.370003,81.519997,70.064934,7212900
Walmart,3/20/2015,81.830002,83.489998,81.709999,83.239998,71.543243,12365300
Walmart,3/23/2015,83.18,83.900002,83.120003,83.309998,71.603401,6505700
Walmart,3/24/2015,83.190002,83.709999,82.959999,83.050003,71.379944,5359100
Walmart,3/25/2015,83.089996,83.25,81.309998,81.32,69.893044,6645900
Walmart,3/26/2015,80.93,82.309998,80.650002,81.889999,70.382973,8267200
Walmart,3/27/2015,81.849998,82.18,81.25,81.349998,69.918839,5717400
Walmart,3/30/2015,81.699997,82.800003,81.43,82.529999,70.933029,5701700
Walmart,3/31/2015,82.389999,83.040001,82.25,82.25,70.69236,5587700
Walmart,4/1/2015,82.279999,82.279999,80.43,80.709999,69.368759,8306700
Walmart,4/2/2015,80.730003,81.32,80.550003,80.730003,69.385956,5795700
Walmart,4/6/2015,80.459999,81.330002,80.150002,80.989998,69.609436,6380700
Walmart,4/7/2015,81.089996,81.290001,80.459999,80.5,69.188286,6606100
Walmart,4/8/2015,80.389999,81.230003,80.360001,81.029999,69.643784,6694700
Walmart,4/9/2015,80.839996,81.389999,80.580002,80.839996,69.480492,3923600
Walmart,4/10/2015,80.860001,81,80.550003,80.650002,69.317192,5480300
Walmart,4/13/2015,80.400002,80.919998,80.269997,80.290001,69.007767,4698100
Walmart,4/14/2015,80.290001,80.419998,79.68,80.150002,68.887459,5531700
Walmart,4/15/2015,80.580002,80.980003,79.650002,79.739998,68.535065,6200400
Walmart,4/16/2015,79.5,79.889999,79.129997,79.239998,68.105316,8015100
Walmart,4/17/2015,78.940002,79.150002,77.550003,77.879997,66.936432,11822800
Walmart,4/20/2015,78.389999,78.830002,78.019997,78.139999,67.159897,8847600
Walmart,4/21/2015,78.610001,78.839996,77.910004,78.029999,67.065353,6200200
Walmart,4/22/2015,77.730003,78.639999,77.550003,78.43,67.409149,7594700
Walmart,4/23/2015,78.379997,79.540001,78.199997,79.18,68.053757,7468900
Walmart,4/24/2015,79.379997,80.93,79.239998,79.839996,68.621025,6867800
Walmart,4/27/2015,79.769997,79.860001,79.290001,79.370003,68.217041,6449800
Walmart,4/28/2015,79.459999,79.480003,78.769997,79.099998,67.985001,4895900
Walmart,4/29/2015,78.699997,78.790001,77.790001,77.879997,66.936432,7108400
Walmart,4/30/2015,77.830002,78.480003,77.589996,78.050003,67.082558,8795900
Walmart,5/1/2015,78.199997,78.760002,78.169998,78.599998,67.555237,4999700
Walmart,5/4/2015,78.980003,79.550003,78.459999,79.18,68.053757,6669200
Walmart,5/5/2015,79.010002,79.010002,78.059998,78.129997,67.151291,5855400
Walmart,5/6/2015,77.919998,78.120003,77.169998,77.650002,67.159966,5480100
Walmart,5/7/2015,77.730003,78.339996,77.300003,78.029999,67.488609,5538100
Walmart,5/8/2015,78.599998,79.25,78.400002,78.529999,67.921051,5347400
Walmart,5/11/2015,78.32,78.610001,78.029999,78.099998,67.549171,3744900
Walmart,5/12/2015,78.019997,79.480003,77.870003,78.959999,68.292984,8449000
Walmart,5/13/2015,79.18,79.43,77.980003,78.160004,67.601059,8421200
Walmart,5/14/2015,78.370003,78.769997,78.019997,78.720001,68.085388,6170200
Walmart,5/15/2015,78.709999,79.25,78.57,79.239998,68.535133,6617200
Walmart,5/18/2015,79.370003,79.940002,79.160004,79.919998,69.123291,8300300
Walmart,5/19/2015,78.18,78.360001,76.230003,76.43,66.104759,22458600
Walmart,5/20/2015,76.480003,76.5,75.830002,75.900002,65.646362,10541900
Walmart,5/21/2015,75.800003,76.419998,75.559998,76.110001,65.828003,6756200
Walmart,5/22/2015,76.199997,76.379997,75.860001,75.860001,65.611755,6815000
Walmart,5/26/2015,75.769997,75.830002,74.82,74.900002,64.781456,10573600
Walmart,5/27/2015,75.010002,75.510002,75,75.190002,65.032288,6987100
Walmart,5/28/2015,75.07,75.160004,74.650002,74.839996,64.729568,5025500
Walmart,5/29/2015,74.82,74.879997,74.150002,74.269997,64.236572,6375100
Walmart,6/1/2015,74.690002,75.080002,74.410004,74.730003,64.634415,5646000
Walmart,6/2/2015,74.540001,75,74.419998,74.529999,64.461441,5797800
Walmart,6/3/2015,74.699997,75.199997,74.470001,74.889999,64.772804,6093800
Walmart,6/4/2015,74.459999,74.980003,73.949997,74.150002,64.132767,8982800
Walmart,6/5/2015,74.169998,74.269997,72.980003,73.059998,63.190014,10635100
Walmart,6/8/2015,73.43,73.489998,72.599998,72.610001,62.800827,9593000
Walmart,6/9/2015,72.699997,72.849998,72.360001,72.470001,62.679749,8335600
Walmart,6/10/2015,72.709999,73.330002,72.339996,72.93,63.077583,11215800
Walmart,6/11/2015,73.230003,73.669998,72.839996,72.940002,63.086243,7420000
Walmart,6/12/2015,72.739998,72.900002,72.400002,72.43,62.645145,7246600
Walmart,6/15/2015,72.199997,72.400002,71.699997,71.93,62.212696,7566800
Walmart,6/16/2015,72.220001,72.580002,71.720001,72.349998,62.575939,6215600
Walmart,6/17/2015,72.629997,72.900002,72.339996,72.730003,62.904625,5703900
Walmart,6/18/2015,72.739998,73.480003,72.739998,72.980003,63.120842,8376600
Walmart,6/19/2015,72.800003,73.220001,72.699997,72.739998,62.913269,14550700
Walmart,6/22/2015,72.980003,73.190002,72.690002,72.790001,62.956501,6489500
Walmart,6/23/2015,72.889999,72.940002,72.339996,72.57,62.766235,7876300
Walmart,6/24/2015,72.559998,72.650002,72.139999,72.379997,62.601891,7338400
Walmart,6/25/2015,72.449997,72.629997,71.830002,71.860001,62.152142,5293200
Walmart,6/26/2015,71.959999,72.459999,71.870003,72.120003,62.377022,6897800
Walmart,6/29/2015,71.800003,72,71.410004,71.419998,61.771576,8187800
Walmart,6/30/2015,71.809998,71.809998,70.779999,70.93,61.34779,11102600
Walmart,7/1/2015,71.599998,71.949997,70.360001,71.879997,62.169437,10773900
Walmart,7/2/2015,72.019997,72.559998,71.660004,71.860001,62.152142,6586100
Walmart,7/6/2015,71.379997,72.690002,71.379997,72.529999,62.73164,10536500
Walmart,7/7/2015,72.660004,73.860001,72,73.790001,63.821419,12421300
Walmart,7/8/2015,73.300003,73.589996,72.900002,73.059998,63.190014,7791000
Walmart,7/9/2015,73.669998,73.730003,72.709999,72.779999,62.94788,8695800
Walmart,7/10/2015,73.080002,73.550003,73.080002,73.120003,63.241928,5579300
Walmart,7/13/2015,73.510002,74.110001,73.510002,73.879997,63.899254,6084500
Walmart,7/14/2015,73.980003,74.089996,73.480003,73.790001,63.821419,5518200
Walmart,7/15/2015,73.589996,73.900002,73.190002,73.650002,63.700329,4566700
Walmart,7/16/2015,73.970001,74.139999,73.760002,73.830002,63.856003,5231700
Walmart,7/17/2015,73.739998,74.07,73.309998,73.389999,63.475433,5680600
Walmart,7/20/2015,73.349998,73.440002,73.059998,73.099998,63.224632,5085600
Walmart,7/21/2015,73.099998,73.290001,72.529999,72.739998,62.913269,6441100
Walmart,7/22/2015,72.779999,73.82,72.779999,73.160004,63.276535,6961600
Walmart,7/23/2015,73.07,73.220001,72.419998,72.510002,62.714317,4252900
Walmart,7/24/2015,72.529999,72.559998,71.5,71.580002,61.909985,5951100
Walmart,7/27/2015,71.379997,71.650002,71.010002,71.379997,61.73698,6197600
Walmart,7/28/2015,71.529999,72.389999,71.230003,72.099998,62.359734,8592300
Walmart,7/29/2015,72.25,72.629997,72.089996,72.230003,62.472164,4939700
Walmart,7/30/2015,72.029999,72.529999,71.779999,72.160004,62.411625,4604500
Walmart,7/31/2015,72.440002,72.489998,71.660004,71.980003,62.255939,7928400
Walmart,8/3/2015,71.839996,72.379997,71.839996,72.18,62.428909,5131800
Walmart,8/4/2015,72.419998,72.800003,71.93,72.25,62.48946,5873400
Walmart,8/5/2015,72.389999,73.690002,72.25,73.510002,64.013382,8715800
