Company,Date,Open,High,Low,Close,Adj Close,Volume
Facebook,1/2/2015,78.580002,78.93,77.699997,78.449997,78.449997,18177500
Facebook,1/5/2015,77.980003,79.25,76.860001,77.190002,77.190002,26452200
Facebook,1/6/2015,77.230003,77.589996,75.360001,76.150002,76.150002,27399300
Facebook,1/7/2015,76.760002,77.360001,75.82,76.150002,76.150002,22045300
Facebook,1/8/2015,76.739998,78.230003,76.080002,78.18,78.18,23961000
Facebook,1/9/2015,78.199997,78.620003,77.199997,77.739998,77.739998,21157000
Facebook,1/12/2015,77.839996,78,76.209999,76.720001,76.720001,19190200
Facebook,1/13/2015,77.230003,78.080002,75.849998,76.449997,76.449997,25179600
Facebook,1/14/2015,76.419998,77.199997,76.029999,76.279999,76.279999,25918600
Facebook,1/15/2015,76.400002,76.57,73.540001,74.050003,74.050003,34134000
Facebook,1/16/2015,74.040001,75.32,73.839996,75.18,75.18,21791500
Facebook,1/20/2015,75.720001,76.309998,74.82,76.239998,76.239998,22821600
Facebook,1/21/2015,76.160004,77.300003,75.849998,76.739998,76.739998,25096700
Facebook,1/22/2015,77.169998,77.75,76.68,77.650002,77.650002,19519500
Facebook,1/23/2015,77.650002,78.190002,77.040001,77.830002,77.830002,16746500
Facebook,1/26/2015,77.980003,78.470001,77.290001,77.5,77.5,19260800
Facebook,1/27/2015,76.709999,76.879997,75.629997,75.779999,75.779999,20110000
Facebook,1/28/2015,76.900002,77.639999,76,76.239998,76.239998,53306400
Facebook,1/29/2015,76.849998,78.019997,74.209999,78,78,61293500
Facebook,1/30/2015,78,78.160004,75.75,75.910004,75.910004,42649500
Facebook,2/2/2015,76.110001,76.139999,73.75,74.989998,74.989998,41955300
Facebook,2/3/2015,75.190002,75.580002,73.860001,75.400002,75.400002,26957700
Facebook,2/4/2015,75.089996,76.349998,75.010002,75.629997,75.629997,20277400
Facebook,2/5/2015,75.709999,75.980003,75.209999,75.610001,75.610001,15062600
Facebook,2/6/2015,75.68,75.699997,74.25,74.470001,74.470001,21211000
Facebook,2/9/2015,74.050003,74.830002,73.449997,74.440002,74.440002,16194300
Facebook,2/10/2015,74.849998,75.339996,74.5,75.190002,75.190002,15811300
Facebook,2/11/2015,75.089996,76.75,75.029999,76.510002,76.510002,20877400
Facebook,2/12/2015,76.860001,76.870003,75.889999,76.230003,76.230003,17235000
Facebook,2/13/2015,76.459999,76.480003,75.5,75.739998,75.739998,18621900
Facebook,2/17/2015,75.300003,76.910004,75.080002,75.599998,75.599998,25254400
